applications,approval_rate,refer_rate,decline_rate,booked_volume,expected_loss,expected_net_contribution,max_pd
60,0.18333333333333332,0.1,0.7166666666666667,261721.9,3557.13,30421.7,0.07
60,0.18333333333333332,0.21666666666666667,0.6,261721.9,3557.13,30421.7,0.1
60,0.2833333333333333,0.18333333333333332,0.5333333333333333,401466.21,9234.66,48941.36,0.13
60,0.4,0.15,0.45,534188.17,17155.66,75669.7,0.16
60,0.4666666666666667,0.2,0.3333333333333333,589591.61,21893.06,87558.82,0.2
60,0.5333333333333333,0.2,0.26666666666666666,640147.27,28150.96,93449.08,0.25
